lila_id,lemma_latin,lemma_greek,certainty,written_representation,lemma_variant,compound,lsj_exactMatch,lsj_broadMatch,lsj_relatedMatch
http://lila-erc.eu/data/id/lemma/86829,abacus,ἄβαξ,,,,,n51,,
http://lila-erc.eu/data/id/lemma/86954,abolla,ἄβολος,,,,,n134,,
http://lila-erc.eu/data/id/lemma/88231,absinthium,ἀψίνθιον,,,,,n18890,,
http://lila-erc.eu/data/id/lemma/89674,absis,ἁψίς,,,,,n18893,,
http://lila-erc.eu/data/id/lemma/87060,acalanthis,ἀκαλανθίς,,ἀκανθίς,,,n2870,,
http://lila-erc.eu/data/id/lemma/87068,acanthus,ἄκανθος,,,,,n2918,,
http://lila-erc.eu/data/id/lemma/87071,acapnos,ἄκαπνος,,,,,n2937,,
http://lila-erc.eu/data/id/lemma/87073,acatalectus,ἀκατάληκτος,,,,,n2978,,
http://lila-erc.eu/data/id/lemma/87195,acersecomes,ἀκερσεκόμης,,,,,n3092,,
http://lila-erc.eu/data/id/lemma/87216,acharna,ἀχάρνης,,,,,,,n18655
http://lila-erc.eu/data/id/lemma/87232,acinaces,ἀκινάκης,,,,,n3171,,
http://lila-erc.eu/data/id/lemma/87244,aclys,ἀγκυλίς,uncertain,,,,n582,,
http://lila-erc.eu/data/id/lemma/87246,acna,ἄκαινα,uncertain,,,,n2841,,
http://lila-erc.eu/data/id/lemma/1679,acoetus,ἀκοινώνητος,,,,,n3271,,
http://lila-erc.eu/data/id/lemma/87252,aconitum,ἀκόνιτον,,,,,n3320,,
http://lila-erc.eu/data/id/lemma/87271,acratophoron,ἀκρατοφόρον,,,,,n3439,,
http://lila-erc.eu/data/id/lemma/87281,acroama,ἀκρόαμα,,,,,n3505,,
http://lila-erc.eu/data/id/lemma/87282,acroasis,ἀκρόασις,,,,,n3508,,
http://lila-erc.eu/data/id/lemma/87296,acroterium,ἀκρωτήριον,,,,,n3709,,
http://lila-erc.eu/data/id/lemma/87297,acta,ἀκτή,,,,,n3727,,
http://lila-erc.eu/data/id/lemma/87343,acyrologia,ἀκυρολογία,,,,,n3783,,
http://lila-erc.eu/data/id/lemma/87359,adamantinus,ἀδαμάντινος,,,,,n1141,,
http://lila-erc.eu/data/id/lemma/87361,adamas,ἀδάμας,,,,,n1144,,
http://lila-erc.eu/data/id/lemma/87422,adeps,ἄλειφα,,ἄλειφαρ,,,n3958,,
http://lila-erc.eu/data/id/lemma/87729,adytum,ἄδυτον,,,,,n1526,,
http://lila-erc.eu/data/id/lemma/87769,aegis,αἰγίς,,,,,n2177,,
http://lila-erc.eu/data/id/lemma/135804,aelinos,αἴλινος,,,,,n2383,,
http://lila-erc.eu/data/id/lemma/87811,aenigma,αἴνιγμα,,,,,n2521,,
http://lila-erc.eu/data/id/lemma/87873,aer,ἀήρ,,,,,n1872,,
http://lila-erc.eu/data/id/lemma/27782,aerius,ἀέριος,,,,,n1718,,
http://lila-erc.eu/data/id/lemma/87965,aether,αἰθήρ,,,,,n2324,,
http://lila-erc.eu/data/id/lemma/27811,aetherius,αἰθέριος,,,,,n2309,,
http://lila-erc.eu/data/id/lemma/87968,aethra,αἴθρα,,,,,n2336,,
http://lila-erc.eu/data/id/lemma/87969,aetiologia,αἰτιολογία,,,,,n2775,,
http://lila-erc.eu/data/id/lemma/88056,agoea,ἀγυιά,,,,,n967,,
http://lila-erc.eu/data/id/lemma/88143,agon,ἀγών,,,,,n1093,,
http://lila-erc.eu/data/id/lemma/88158,agoranomus,ἀγορανόμος,,,,,n769,,
http://lila-erc.eu/data/id/lemma/88199,alabaster,ἀλάβαστρος,,,ἀλάβαστρον,,n3808,,
http://lila-erc.eu/data/id/lemma/88277,alcyon,ἀλκυών,,,,,n4356,,
http://lila-erc.eu/data/id/lemma/89478,alcyoneus,ἀλκυόνιος,,,,,,,n4354
http://lila-erc.eu/data/id/lemma/88280,alicula,ἄλληξ,,ἄλλιξ,,,,,n4435
http://lila-erc.eu/data/id/lemma/88347,aliptes,ἀλείπτης,,,,,n3946,,
http://lila-erc.eu/data/id/lemma/88375,allegoria,ἀλληγορία,,,,,n4392,,
http://lila-erc.eu/data/id/lemma/88431,aloe,ἀλόη,,,,,n4607,,
http://lila-erc.eu/data/id/lemma/88558,amaracinus,ἀμαράκινος,,,,,n4944,,
http://lila-erc.eu/data/id/lemma/88561,amaracum,ἀμάρακον,,,ἀμάρακος,,n4945,,
http://lila-erc.eu/data/id/lemma/88562,amarantus,ἀμάραντος,,,,,n4948,,
http://lila-erc.eu/data/id/lemma/88624,ambligonius,ἀμβλυγώνιος,,,,,n5026,,
http://lila-erc.eu/data/id/lemma/89370,ambrosia,ἀμβροσία,,,,,n5078,,
http://lila-erc.eu/data/id/lemma/89457,ambrosius,ἀμβρόσιος,,,,,n5080,,
http://lila-erc.eu/data/id/lemma/88659,amethystinus,ἀμεθύστινος,,,,,n5099,,
http://lila-erc.eu/data/id/lemma/88662,amethystus,ἀμέθυστος,,,,,n5100,,
http://lila-erc.eu/data/id/lemma/88667,amia,ἀμία,,,,,n5260,,
http://lila-erc.eu/data/id/lemma/88716,amomum,ἄμωμον,,,,,n6199,,
http://lila-erc.eu/data/id/lemma/88726,ampelinus,ἀμπέλινος,,,,,n5480,,
http://lila-erc.eu/data/id/lemma/88737,amphibolia,ἀμφιβολία,,,,,n5735,,
http://lila-erc.eu/data/id/lemma/88742,amphibrachys,ἀμφίβραχυς,,,,,n5740,,
http://lila-erc.eu/data/id/lemma/88749,amphimacrus,ἀμφίμακρος,,,,,n5936,,
http://lila-erc.eu/data/id/lemma/88750,amphimallum,ἀμφίμαλλον,,,,,,n5937,
http://lila-erc.eu/data/id/lemma/89714,amphitapa,ἀμφιτάπης,,,,,n6096,,
http://lila-erc.eu/data/id/lemma/88761,amphitheatrum,ἀμφιθέατρον,,,,,n5843,,
http://lila-erc.eu/data/id/lemma/88762,amphora,ἀμφορεύς,,,,,n6157,,
http://lila-erc.eu/data/id/lemma/88804,amurca,ἀμόργη,,,,,n5424,,
http://lila-erc.eu/data/id/lemma/88809,amussis,ἅρμοσις,,,,,n15289,,
http://lila-erc.eu/data/id/lemma/88814,amygdala,ἀμυγδάλη,,,,,n5555,,
http://lila-erc.eu/data/id/lemma/88824,amylum,ἄμυλον,,,,,n5591,,
http://lila-erc.eu/data/id/lemma/88826,amystis,ἄμυστις,,,,,n5627,,
http://lila-erc.eu/data/id/lemma/135805,anabathra,ἀναβάθρα,,,,,n6222,,
http://lila-erc.eu/data/id/lemma/88854,anadema,ἀνάδημα,,,,,n6443,,
http://lila-erc.eu/data/id/lemma/88866,anaglyptus,ἀνάγλυπτος,,,,,n6351,,
http://lila-erc.eu/data/id/lemma/88869,anagnostes,ἀναγνώστης,,,,,n6370,,
http://lila-erc.eu/data/id/lemma/88874,analecta,ἀναλέκτης,,,,,n6889,,
http://lila-erc.eu/data/id/lemma/88875,analeptris,ἀναληπτρίς,,,,,n6896,,
http://lila-erc.eu/data/id/lemma/88879,analogia,ἀναλογία,,,,,n6926,,
http://lila-erc.eu/data/id/lemma/88882,analogos,ἀνάλογος,,,,,n6933,,
http://lila-erc.eu/data/id/lemma/88887,anancaeum,ἀναγκαῖον,,,,,n6328,,
http://lila-erc.eu/data/id/lemma/89748,anapaesticus,ἀναπαιστικός,,,,,n7125,,
http://lila-erc.eu/data/id/lemma/89770,anapaestus,ἀνάπαιστος,,,,,n7126,,
http://lila-erc.eu/data/id/lemma/88907,anastrophe,ἀναστροφή,,,,,n7565,,
http://lila-erc.eu/data/id/lemma/88919,anatocismus,ἀνατοκισμός,,,,,n7635,,
